T,quick_validation_5,quick_sweep_alpha_cpu,difference
0.10,0.9557,0.9557,0.0000
0.20,0.9106,0.9106,0.0000
0.30,0.8530,0.8530,0.0000
0.40,0.8219,0.8219,0.0000
0.50,0.7726,0.7726,0.0000
0.60,0.7506,0.7506,0.0000
0.70,0.7024,0.7024,0.0000
0.80,0.6812,0.6812,0.0000
0.90,0.6553,0.6553,0.0000
1.00,0.6197,0.6197,0.0000
1.10,0.0409,0.0409,0.0000
1.20,0.5937,0.5937,0.0000
1.30,0.0815,0.0815,0.0000
1.40,0.0875,0.0875,0.0000
1.50,-0.1185,-0.1185,0.0000
1.60,-0.1075,-0.1075,0.0000
1.70,0.0341,0.0341,0.0000
1.80,-0.0531,-0.0531,0.0000
1.90,0.0260,0.0260,0.0000
2.00,0.0694,0.0694,0.0000
2.10,0.0207,0.0207,0.0000
2.20,-0.0140,-0.0140,0.0000
2.30,-0.0231,-0.0231,0.0000
2.40,0.0562,0.0562,0.0000
2.50,-0.0137,-0.0137,0.0000
