b,alpha,M,phi_c,lambda_anal,K_mean,n_real
3.414213562373095,0.28,1097.0,0.7071067811865475,0.23887787154866014,0.029,2000.0
3.414213562373095,0.3,1808.0,0.7071067811865475,0.3938430279218486,0.049,2000.0
3.414213562373095,0.32,2981.0,0.7071067811865475,0.6493373774516965,0.078,2000.0
3.414213562373095,0.34,4915.0,0.7071067811865475,1.07057634606525,0.1405,2000.0
3.414213562373095,0.36,8103.0,0.7071067811865475,1.7650819936661977,0.205,2000.0
3.414213562373095,0.38,13360.0,0.7071067811865475,2.91012822748725,0.353,2000.0
3.414213562373095,0.4,22026.0,0.7071067811865475,4.797990309123092,0.621,2000.0
3.414213562373095,0.42,36316.0,0.7071067811865475,7.910548679264318,0.9405,2000.0
3.414213562373095,0.44,59874.0,0.7071067811865475,13.042289870411897,1.6155,2000.0
3.414213562373095,0.46,98716.0,0.7071067811865475,21.503100727984915,2.6465,2000.0
4.0,0.31,2322.0,0.75,0.21828704258539292,0.0145,2000.0
4.0,0.33,3828.0,0.75,0.35989449022876213,0.019,2000.0
4.0,0.35,6311.0,0.75,0.5933657012479391,0.0365,2000.0
4.0,0.37,10405.0,0.75,0.9782946529513751,0.0535,2000.0
4.0,0.39,17154.0,0.75,1.6129352033331328,0.0865,2000.0
4.0,0.41,28283.0,0.75,2.6592805779963697,0.144,2000.0
4.0,0.43,46630.0,0.75,4.384412453702347,0.227,2000.0
4.0,0.45,76880.0,0.75,7.228674071941601,0.421,2000.0
4.0,0.47,126754.0,0.75,11.918068701368615,0.696,500.0
4.0,0.49,208981.0,0.75,19.649573373611908,1.036,500.0
5.0,0.35,6311.0,0.8,0.21114020355933244,0.003,2000.0
5.0,0.37,10405.0,0.8,0.34811134470822636,0.002,2000.0
5.0,0.39,17154.0,0.8,0.5739385785924775,0.008,2000.0
5.0,0.41,28283.0,0.8,0.9462647426008141,0.0125,2000.0
5.0,0.43,46630.0,0.8,1.5601268088395446,0.023,2000.0
5.0,0.45,76880.0,0.8,2.572214254723271,0.0425,2000.0
5.0,0.47,126754.0,0.8,4.2408643545603315,0.056,500.0
5.0,0.49,208981.0,0.8,6.992003267517589,0.106,500.0
5.0,0.51,344552.0,0.8,11.527864511961047,0.15,500.0
5.0,0.53,568070.0,0.8,19.006235426619348,0.25,200.0
10.0,0.44,59874.0,0.9,0.212669506705309,0.0,2000.0
10.0,0.46,98716.0,0.9,0.35063273933434663,0.0,2000.0
10.0,0.48,162755.0,0.9,0.5780956555443904,0.0,500.0
10.0,0.5,268337.0,0.9,0.9531186037953709,0.0,500.0
10.0,0.52,442413.0,0.9,1.5714269155774374,0.0,500.0
10.0,0.54,729416.0,0.9,2.5908449810632157,0.0,200.0
10.0,0.56,1.202604e6,0.9,4.271581229365598,0.0,200.0
10.0,0.58,1.982759e6,0.9,7.042646832378446,0.0,200.0
25.0,0.5,268337.0,0.96,0.221450885246907,0.0,500.0
25.0,0.52,442413.0,0.96,0.3651107849219489,0.0,500.0
25.0,0.54,729416.0,0.96,0.6019659172628371,0.0,200.0
25.0,0.56,1.202604e6,0.96,0.9924740120277534,0.0,200.0
25.0,0.58,1.982759e6,0.96,1.6363130142472482,0.0,200.0
