alpha,T,N,M,n_dis,phi_mean_final,phi_std_final,frac_escaped,tau_1hop_median
0.18,0.10,55,20000,2000,0.9589,0.0076,0.0003,64.0
0.18,0.10,55,20000,2000,0.9591,0.0089,0.0005,64.0
0.18,0.15,55,20000,2000,0.9423,0.0134,0.0055,64.0
0.18,0.20,55,20000,2000,0.9278,0.0157,0.0112,64.0
0.18,0.25,55,20000,2000,0.9144,0.0213,0.0257,19872.0
0.18,0.30,55,20000,2000,0.9030,0.0265,0.0380,20640.0
0.18,0.40,55,20000,2000,0.8800,0.0562,0.0820,704.0
0.18,0.50,55,20000,2000,0.8596,0.0761,0.2485,192.0
0.18,0.80,55,20000,2000,0.8224,0.0874,0.8163,64.0
0.20,0.10,50,20000,2000,0.9573,0.0140,0.0050,64.0
0.20,0.15,50,20000,2000,0.9387,0.0212,0.0265,64.0
0.20,0.20,50,20000,2000,0.9220,0.0268,0.0597,64.0
0.20,0.25,50,20000,2000,0.9065,0.0346,0.1042,64768.0
0.20,0.30,50,20000,2000,0.8881,0.0620,0.1385,11872.0
0.20,0.40,50,20000,2000,0.8421,0.1289,0.2105,576.0
0.20,0.50,50,20000,2000,0.8123,0.1519,0.3802,192.0
0.20,0.80,50,20000,2000,0.7638,0.1669,0.8478,64.0
0.22,0.10,45,20000,2000,0.9506,0.0274,0.0275,64.0
0.22,0.15,45,20000,2000,0.9256,0.0398,0.1062,64.0
0.22,0.20,45,20000,2000,0.9019,0.0520,0.2245,18816.0
0.22,0.25,45,20000,2000,0.8703,0.0841,0.3585,44416.0
0.22,0.30,45,20000,2000,0.8217,0.1486,0.4158,7936.0
0.22,0.40,45,20000,2000,0.6996,0.2441,0.5278,576.0
0.22,0.50,45,20000,2000,0.6138,0.2767,0.6697,192.0
0.22,0.80,45,20000,2000,0.5014,0.2932,0.9205,64.0
0.24,0.10,41,20000,2000,0.9316,0.0451,0.1022,1344.0
0.24,0.15,41,20000,2000,0.8909,0.0690,0.3190,17088.0
0.24,0.20,41,20000,2000,0.8482,0.0983,0.5262,22144.0
0.24,0.25,41,20000,2000,0.7849,0.1590,0.6850,18240.0
0.24,0.30,41,20000,2000,0.6702,0.2330,0.7585,4352.0
0.24,0.40,41,20000,2000,0.4044,0.3003,0.8852,512.0
0.24,0.50,41,20000,2000,0.2392,0.2907,0.9503,192.0
0.24,0.80,41,20000,2000,0.0892,0.2214,0.9938,64.0
