T,phi_observed,phi_theory,difference
0.025,0.9882,0.9880806061035794,0.00011939389642057208
0.075,0.9676,0.9672480192784124,0.00035198072158759697
0.125,0.9503,0.9495942598273448,0.0007057401726552337
0.175,0.9352,0.9344008550567026,0.0007991449432974695
0.225,0.922,0.9211583424791376,0.0008416575208624044
0.275,0.9106,0.9094937123923418,0.0011062876076581851
0.325,0.9003,0.8991265668942752,0.0011734331057248193
0.375,0.8913,0.8898414174083572,0.0014585825916427764
0.425,0.883,0.8814695162608238,0.0015304837391761916
0.475,0.8755,0.873876560342063,0.001623439657936987
0.525,0.8686,0.8669541415978438,0.0016458584021562528
0.575,0.8623,0.8606136620838734,0.0016863379161266012
0.625,0.8567,0.8547819135740643,0.0019180864259357167
0.675,0.8516,0.849397807800467,0.002202192199532993
0.725,0.8466,0.8444099185875774,0.0021900814124226065
0.775,0.842,0.8397746074611853,0.0022253925388147078
0.825,0.8379,0.8354545755307944,0.0024454244692055926
0.875,0.8337,0.8314177314574169,0.0022822685425830658
0.925,0.8302,0.8276362969811001,0.0025637030188999654
0.975,0.8268,0.8240860931977919,0.002713906802208066
1.025,0.8233,0.8207459659164053,0.0025540340835947806
1.075,0.8207,0.8175973191451038,0.003102680854896178
1.125,0.8174,0.8146237334489373,0.002776266551062667
1.175,0.8146,0.8118106515137813,0.0027893484862187012
1.225,0.8118,0.809145117365763,0.002654882634236966
1.275,0.8091,0.8066155587551299,0.002484441244870128
1.325,0.8076,0.80421160451254,0.00338839548745995
1.375,0.8051,0.8019239304293597,0.0031760695706403164
1.425,0.8028,0.7997441285480105,0.003055871451989489
1.475,0.8011,0.7976645957779643,0.0034354042220356984
1.525,0.7992,0.7956784385537271,0.003521561446272914
1.575,0.7978,0.793779390878377,0.004020609121622942
1.625,0.7952,0.7919617435909955,0.0032382564090045474
1.675,0.7933,0.7902202830892137,0.0030797169107863454
1.725,0.792,0.7885502380518589,0.0034497619481411723
1.775,0.7903,0.7869472329589188,0.0033527670410812282
1.825,0.7892,0.7854072474097756,0.0037927525902243797
1.875,0.7874,0.7839265804061832,0.003473419593816751
1.925,0.7866,0.7825018189015596,0.004098181098440401
1.975,0.7841,0.7811298100290044,0.002970189970995629
